data,produto,quantidade_vendida,preco
2025-01-01,SSD 1TB,2,513.93
2025-01-03,Cabo HDMI 2m,5,34.53
2025-01-05,Teclado Mecânico,1,438.51
2025-01-05,Hub USB-C,1,151.36
2025-01-05,Cabo HDMI 2m,2,34.76
2025-01-06,Cabo HDMI 2m,1,37.24
2025-01-07,Webcam Full HD,5,265.33
2025-01-08,Suporte para Notebook,1,100.89
2025-01-11,Headset Gamer,3,310.76
2025-01-12,Mouse Logitech,1,87.78
2025-01-13,Notebook Dell,5,3217.54
2025-01-13,Teclado Mecânico,3,445.28
2025-01-17,Notebook Dell,3,3590.58
2025-01-19,Mousepad RGB,5,70.23
2025-01-21,Mousepad RGB,3,63.04
2025-01-22,Cadeira Gamer,4,1081.68
2025-01-24,Monitor LG 24'',2,814.83
2025-01-25,Mouse Logitech,2,79.45
2025-01-25,Notebook Dell,1,3766.87
2025-01-26,Teclado Mecânico,4,479.1
2025-01-27,Cabo HDMI 2m,2,34.92
2025-01-29,Cabo HDMI 2m,3,33.05
2025-01-29,Webcam Full HD,5,282.04
2025-01-31,Cadeira Gamer,1,1120.47
2025-02-01,Headset Gamer,5,321.4
2025-02-02,SSD 1TB,1,504.71
2025-02-03,Webcam Full HD,2,306.61
2025-02-05,Hub USB-C,3,142.94
2025-02-05,Headset Gamer,2,351.21
2025-02-11,Cadeira Gamer,2,1307.3
2025-02-11,Headset Gamer,1,336.63
2025-02-11,Mousepad RGB,5,68.04
2025-02-13,Cabo HDMI 2m,3,35.15
2025-02-13,SSD 1TB,4,590.81
2025-02-13,Teclado Mecânico,2,446.76
2025-02-13,Monitor LG 24'',2,810.86
2025-02-16,Headset Gamer,3,335.93
2025-02-17,Headset Gamer,3,296.5
2025-02-18,Teclado Mecânico,3,430.26
2025-02-18,Webcam Full HD,3,303.86
2025-02-19,Notebook Dell,4,3582.84
2025-02-19,Hub USB-C,3,156.7
2025-02-21,Mouse Logitech,1,91.91
2025-02-22,Cabo HDMI 2m,5,38.03
2025-02-22,Suporte para Notebook,4,95.46
2025-02-23,Cabo HDMI 2m,1,31.91
2025-02-24,Cadeira Gamer,1,1200.79
2025-02-26,Webcam Full HD,1,260.05
2025-02-26,SSD 1TB,3,521.16
2025-02-27,Suporte para Notebook,5,99.26
2025-03-04,Monitor LG 24'',3,782.91
2025-03-07,Hub USB-C,2,161.8
2025-03-07,Webcam Full HD,3,276.05
2025-03-09,Monitor LG 24'',3,805.84
2025-03-11,Webcam Full HD,5,288.93
2025-03-12,Suporte para Notebook,1,92.75
2025-03-13,Cabo HDMI 2m,3,35.27
2025-03-13,Notebook Dell,5,3341.31
2025-03-13,Webcam Full HD,2,276.99
2025-03-14,SSD 1TB,2,556.44
2025-03-14,Monitor LG 24'',2,905.59
2025-03-15,Cadeira Gamer,2,1295.59
2025-03-17,Suporte para Notebook,5,98.06
2025-03-18,Mousepad RGB,2,62.43
2025-03-18,Teclado Mecânico,2,410.13
2025-03-19,SSD 1TB,2,549.09
2025-03-20,SSD 1TB,1,518.65
2025-03-21,Webcam Full HD,4,307.61
2025-03-23,Hub USB-C,5,148.66
2025-03-23,Suporte para Notebook,2,96.77
2025-03-24,Suporte para Notebook,1,89.67
2025-03-24,Webcam Full HD,4,297.7
2025-03-25,SSD 1TB,4,600.62
2025-03-26,Cabo HDMI 2m,1,33.26
2025-03-27,Cabo HDMI 2m,5,36.35
2025-03-27,Cadeira Gamer,5,1241.04
2025-03-29,Cadeira Gamer,2,1311.35
2025-03-29,Cabo HDMI 2m,4,34.89
2025-03-31,Headset Gamer,4,314.21
2025-03-31,Notebook Dell,2,3647.69
2025-04-01,Teclado Mecânico,3,407.42
2025-04-01,Cabo HDMI 2m,4,32.11
2025-04-03,Webcam Full HD,5,307.53
2025-04-06,Webcam Full HD,1,295.79
2025-04-07,Webcam Full HD,4,256.97
2025-04-07,Hub USB-C,3,164.6
2025-04-08,Suporte para Notebook,1,87.2
2025-04-09,Mouse Logitech,5,93.15
2025-04-11,Notebook Dell,2,3319.89
2025-04-12,Notebook Dell,5,3673.17
2025-04-13,Monitor LG 24'',2,865.8
2025-04-14,Hub USB-C,5,148.87
2025-04-15,Teclado Mecânico,2,430.65
2025-04-15,Mousepad RGB,4,61.95
2025-04-16,Teclado Mecânico,3,450.18
2025-04-16,Teclado Mecânico,3,425.02
2025-04-18,Webcam Full HD,4,307.24
2025-04-18,SSD 1TB,3,541.32
2025-04-18,Hub USB-C,4,143.26
2025-04-18,Webcam Full HD,2,260.53
2025-04-19,Monitor LG 24'',3,823.93
2025-04-23,Hub USB-C,4,154.91
2025-04-23,Headset Gamer,1,291.71
2025-04-24,Notebook Dell,1,3390.38
2025-04-25,Webcam Full HD,4,274.85
2025-04-26,Headset Gamer,3,327.58
2025-04-27,Notebook Dell,5,3257.3
2025-04-28,Webcam Full HD,1,271.56
2025-04-29,Monitor LG 24'',5,788.22
2025-04-29,Hub USB-C,2,154.22
2025-05-01,SSD 1TB,3,530.35
2025-05-01,Notebook Dell,5,3798.74
2025-05-02,SSD 1TB,2,526.78
2025-05-05,Cabo HDMI 2m,5,36.82
2025-05-05,Mousepad RGB,4,63.66
2025-05-05,Cadeira Gamer,3,1234.81
2025-05-06,Monitor LG 24'',5,874.64
2025-05-08,Notebook Dell,4,3817.73
2025-05-10,Monitor LG 24'',5,809.66
2025-05-17,Teclado Mecânico,1,442.19
2025-05-17,Teclado Mecânico,2,465.82
2025-05-17,Monitor LG 24'',2,776.47
2025-05-17,Webcam Full HD,4,274.45
2025-05-18,Hub USB-C,4,159.11
2025-05-19,Cabo HDMI 2m,5,32.57
2025-05-22,Hub USB-C,2,160.71
2025-05-23,Cabo HDMI 2m,4,36.91
2025-05-26,Suporte para Notebook,3,104.36
2025-05-26,SSD 1TB,1,541.23
2025-05-28,Mousepad RGB,5,68.88
2025-05-31,SSD 1TB,5,601.79
2025-06-03,SSD 1TB,2,519.87
2025-06-07,Suporte para Notebook,2,93.79
2025-06-07,Mouse Logitech,1,86.04
2025-06-07,Cadeira Gamer,1,1309.32
2025-06-10,Teclado Mecânico,4,483.36
2025-06-10,Hub USB-C,2,152.65
2025-06-13,Cabo HDMI 2m,3,33.61
2025-06-13,Hub USB-C,2,153.35
2025-06-13,Cadeira Gamer,5,1186.11
2025-06-14,SSD 1TB,3,496.67
2025-06-15,Webcam Full HD,4,288.26
2025-06-16,Cabo HDMI 2m,4,34.4
2025-06-16,Headset Gamer,3,297.13
2025-06-17,Notebook Dell,4,3818.34
2025-06-18,Mouse Logitech,1,90.92
2025-06-19,Notebook Dell,1,3172.44
2025-06-19,Headset Gamer,2,323.28
2025-06-20,Webcam Full HD,3,272.55
2025-06-20,Teclado Mecânico,1,444.17
2025-06-21,Cadeira Gamer,2,1315.38
2025-06-21,SSD 1TB,1,535.82
2025-06-21,Notebook Dell,2,3624.48
2025-06-22,Monitor LG 24'',5,793.66
2025-06-24,Headset Gamer,5,329.68
2025-06-24,Cabo HDMI 2m,3,33.87
2025-06-25,Headset Gamer,3,308.61
2025-06-27,Headset Gamer,3,335.65
2025-06-27,Cadeira Gamer,3,1151.45
2025-06-27,Teclado Mecânico,2,448.63
2025-06-27,Cadeira Gamer,4,1270.69
2025-06-29,Mouse Logitech,3,80.56
2025-06-29,Cadeira Gamer,5,1116.68
2025-06-30,Mouse Logitech,5,87.59
2025-07-02,Teclado Mecânico,1,445.29
2025-07-03,Mousepad RGB,5,68.83
2025-07-03,Headset Gamer,2,289.08
